ID,Country,GeoID,City,State,Area Type,Minutes,Margin of Error
0100000US,United States,310M300US17860,Columbia,MO,Metro,17.7,0.4
0100000US,United States,310M300US17900,Columbia,SC,Metro,23.6,0.2
0100000US,United States,310M300US17980,Columbus,GA,Metro,21.4,0.4
0100000US,United States,310M300US18020,Columbus,IN,Metro,19.1,0.6
0100000US,United States,310M300US18060,Columbus,MS,Micro,20.9,1.4
0100000US,United States,310M300US18100,Columbus,NE,Micro,14.1,0.7
0100000US,United States,310M300US18140,Columbus,OH,Metro,23.5,0.1
0100000US,United States,310M300US18180,Concord,NH,Micro,26.3,0.5
0100000US,United States,310M300US18220,Connersville,IN,Micro,25.8,1.7
0100000US,United States,310M300US18260,Cookeville,TN,Micro,24.8,0.7
0100000US,United States,310M300US18300,Coos Bay,OR,Micro,18.7,1.3
0100000US,United States,310M300US18380,Cordele,GA,Micro,20,2.5
0100000US,United States,310M300US18420,Corinth,MS,Micro,21.4,1.5
0100000US,United States,310M300US18460,Cornelia,GA,Micro,25.7,1.4
0100000US,United States,310M300US18500,Corning,NY,Micro,21.8,0.5
0100000US,United States,310M300US18580,Corpus Christi,TX,Metro,20.4,0.3
0100000US,United States,310M300US18620,Corsicana,TX,Micro,25,1.3
0100000US,United States,310M300US18660,Cortland,NY,Micro,20.7,0.7
0100000US,United States,310M300US18700,Corvallis,OR,Metro,19.5,0.8
0100000US,United States,310M300US18740,Coshocton,OH,Micro,24,1.3
0100000US,United States,310M300US18780,Craig,CO,Micro,20.6,1.9
0100000US,United States,310M300US18820,Crawfordsville,IN,Micro,21.7,1
0100000US,United States,310M300US18860,Crescent City,CA,Micro,14.3,1.4
0100000US,United States,310M300US18880,Crestview-Fort Walton Beach-Destin,FL,Metro,24.2,0.5
0100000US,United States,310M300US18900,Crossville,TN,Micro,22.4,0.9
0100000US,United States,310M300US18980,Cullman,AL,Micro,26.5,1
0100000US,United States,310M300US19000,Cullowhee,NC,Micro,19.3,1.2
0100000US,United States,310M300US19060,Cumberland,MD,Metro,22.6,0.7
0100000US,United States,310M300US19100,Dallas-Fort Worth-Arlington,TX,Metro,27.8,0.1
0100000US,United States,314M300US1910019124,Dallas-Plano-Irving,TX,Metro,27.9,0.1
